표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
KR7098120009,98120,(주)마이크로컨텍솔루션,마이크로컨텍솔,"Micro Contact Solution Co.,Ltd.",2008.9.23,KOSDAQ,주권,벤처기업부,보통주,500,8312766
KR7131100000,131100,(주)스카이이앤엠,스카이이앤엠,"SKY E&M Co., Ltd.",2011.6.14,KOSDAQ,주권,관리종목(소속부없음),보통주,500,10740713
KR7009520008,9520,(주)포스코엠텍,포스코엠텍,"POSCO M-TECH CO.,LTD.",1997.11.10,KOSDAQ,주권,우량기업부,보통주,500,41642703
KR7095570008,95570,AJ네트웍스보통주,AJ네트웍스,"AJ Networks Co.,Ltd.",2015.8.21,KOSPI,주권,,보통주,1000,46822295
KR7006840003,6840,AK홀딩스보통주,AK홀딩스,"AK Holdings, Inc.",1999.8.11,KOSPI,주권,,보통주,5000,13247561
KR7282330000,282330,BGF리테일보통주,BGF리테일,BGF Retail,2017.12.8,KOSPI,주권,,보통주,1000,17283906
KR7027410000,27410,BGF보통주,BGF,BGF,2014.5.19,KOSPI,주권,,보통주,1000,95716791
KR7138930003,138930,BNK금융지주보통주,BNK금융지주,BNK Financial Group Inc.,2011.3.30,KOSPI,주권,,보통주,5000,325935246
KR7001461003,1465,BYC1우선주,BYC우,BYC(1P),1989.9.5,KOSPI,주권,,구형우선주,5000,215385
KR7001460005,1460,BYC보통주,BYC,BYC,1975.6.2,KOSPI,주권,,보통주,5000,624615
KR7001041003,1045,CJ1우선주,CJ우,CJ(1P),1989.8.18,KOSPI,주권,,구형우선주,5000,2260223
KR700104K010,00104K,CJ4우선주(전환),CJ4우(전환),CJ(4PC),2019.8.9,KOSPI,주권,,신형우선주,5000,4226512
KR7001040005,1040,CJ보통주,CJ,CJ Corp.,1973.6.29,KOSPI,주권,,보통주,5000,29176998
KR7011151008,11155,CJ씨푸드1우선주,CJ씨푸드1우,CJSEAFOODCORPORATION(1P),1990.1.13,KOSPI,주권,,구형우선주,500,200000
KR7011150000,11150,CJ씨푸드보통주,CJ씨푸드,CJSEAFOODCORPORATION,1988.11.26,KOSPI,주권,,보통주,500,35930773
KR7058820002,58820,CMG제약,CMG제약,"CMG Pharmaceutical Co., Ltd.",2001.8.31,KOSDAQ,주권,우량기업부,보통주,500,138892244
KR7000590000,590,CS홀딩스보통주,CS홀딩스,CSHOLDINGS,1975.12.22,KOSPI,주권,,보통주,5000,1154482
KR7012030003,12030,DB Inc.보통주,DB,DB Inc.,1993.1.6,KOSPI,주권,,보통주,500,201173933
KR7016610008,16610,DB금융투자보통주,DB금융투자,"DB Financial Investment Co., LTD.",1988.6.27,KOSPI,주권,,보통주,5000,42446389
KR7005830005,5830,DB손해보험보통주,DB손해보험,DB INSURANCE,1973.6.28,KOSPI,주권,,보통주,500,70800000
KR7000991000,995,DB하이텍1우선주,DB하이텍1우,"DB HiTek Co.,LTD(1P)",2007.5.21,KOSPI,주권,,구형우선주,5000,112316
KR7000990002,990,DB하이텍보통주,DB하이텍,"DB HiTek Co.,LTD",1975.12.12,KOSPI,주권,,보통주,5000,44398588
KR7139130009,139130,DGB금융지주보통주,DGB금융지주,DGB Financial Group,2011.6.7,KOSPI,주권,,보통주,5000,169145833
KR7001530005,1530,DI동일보통주,DI동일,DI DONGIL,1964.1.4,KOSPI,주권,,보통주,5000,2510655
KR7000211003,215,DL1우선주,DL우,DL(1P),1989.8.21,KOSPI,주권,,구형우선주,5000,1686115
KR7001880004,1880,DL건설보통주,DL건설,DLConstruction,1977.12.22,KOSPI,주권,,보통주,5000,22053284
KR7000210005,210,DL보통주,DL,DL,1976.2.2,KOSPI,주권,,보통주,5000,20955884
KR737550K011,37550K,DL이앤씨1우선주,DL이앤씨우,"DL E&C CO., LTD.(1P)",2021.1.25,KOSPI,주권,,종류주권,5000,2113885
KR7375500006,375500,DL이앤씨보통주,DL이앤씨,"DL E&C CO., LTD.",2021.1.25,KOSPI,주권,,보통주,5000,19358738
KR7155660004,155660,DSR보통주,DSR,DSR CORP,2013.5.15,KOSPI,주권,,보통주,500,16000000
KR7069730000,69730,DSR제강보통주,DSR제강,DSRWIRECORP,2003.1.28,KOSPI,주권,,보통주,500,14400000
KR7017940008,17940,E1보통주,E1,E1Corporation,1997.8.27,KOSPI,주권,,보통주,5000,6860000
KR7365550003,365550,ESR켄달스퀘어리츠보통주,ESR켄달스퀘어리츠,ESR KENDALL SQUARE REIT,2020.12.23,KOSPI,부동산투자회사,,보통주,1000,143259000
KR7050120005,50120,ES큐브,ES큐브,ES CUBE,2002.4.25,KOSDAQ,주권,중견기업부,보통주,5000,13564086
KR7383220001,383220,F&F보통주,F&F,F&F,2021.5.21,KOSPI,주권,,보통주,500,7661415
KR7007700008,7700,F&F홀딩스,F&F홀딩스,F&F Holdings,1984.10.4,KOSPI,주권,,보통주,500,39114367
KR7078931003,78935,GS1우선주,GS우,GS Holdings(1P),2004.8.5,KOSPI,주권,,구형우선주,5000,1784826
KR7006360002,6360,GS건설보통주,GS건설,GS Engineering & Construction Corp,1981.8.3,KOSPI,주권,,보통주,5000,85581490
KR7078930005,78930,GS보통주,GS,GS Holdings,2004.8.5,KOSPI,주권,,보통주,5000,92915378
KR7012630000,12630,HDC보통주,HDC,"HDC HOLDINGS CO.,Ltd",1996.10.16,KOSPI,주권,,보통주,5000,59741721
KR7294870001,294870,HDC현대산업개발보통주,HDC현대산업개발,HYUNDAI DEVELOPMENT COMPANY,2018.6.12,KOSPI,주권,,보통주,5000,65907330
KR7003560000,3560,IHQ보통주,IHQ,IHQ,1973.12.18,KOSPI,주권,,보통주,500,146235748
KR7175330000,175330,JB금융지주보통주,JB금융지주,"JB Financial Group Co., Ltd.",2013.7.18,KOSPI,주권,,보통주,5000,196982894
KR7234080000,234080,JW생명과학보통주,JW생명과학,JW LIFESCIENCE,2016.10.27,KOSPI,주권,,보통주,2500,15834554
KR7001061001,1065,JW중외제약1우선주,JW중외제약우,JWPHARMACEUTICAL(1P),1994.10.21,KOSPI,주권,,구형우선주,2500,177486
KR7001062009,1067,JW중외제약2우선주(신형),JW중외제약2우B,JWPHARMACEUTICAL(2PB),1998.4.13,KOSPI,주권,,신형우선주,2500,93028
KR7001060003,1060,JW중외제약보통주,JW중외제약,JWPHARMACEUTICAL,1976.6.14,KOSPI,주권,,보통주,2500,21539926
KR7096760004,96760,JW홀딩스 보통주,JW홀딩스,JW HOLDINGS CORPORATION,2007.7.31,KOSPI,주권,,보통주,500,68441182
KR7105560007,105560,KB금융지주 보통주,KB금융,KB Financial Group,2008.10.10,KOSPI,주권,,보통주,5000,415807920
KR7024120008,24120,KB오토시스,KB오토시스,"KB Autosys Co.,Ltd",1994.12.7,KOSDAQ,주권,우량기업부,보통주,500,11500000
KR7009070004,9070,KCTC 보통주,KCTC,KCTC,1978.9.29,KOSPI,주권,,보통주,500,30000000
KR7044180008,44180,KD,KD,KD Corporation,2000.11.16,KOSDAQ,주권,중견기업부,보통주,500,21713845
KR7016381006,16385,KG동부제철1우선주,KG동부제철우,KG DONGBUSTEEL(1P),1989.9.21,KOSPI,주권,,구형우선주,5000,53385
KR7016380008,16380,KG동부제철보통주,KG동부제철,KG DONGBUSTEEL,1986.2.3,KOSPI,주권,,보통주,5000,100008897
KR7001390004,1390,KG케미칼보통주,KG케미칼,KG Chemical,1989.8.25,KOSPI,주권,,보통주,5000,13866096
