title,date
7일 장마감 후 주요 종목뉴스,2021-12-07 18:30
신라젠 “신주 발행 무효 확인의 소 제기돼…적극 대응할 것”,2021-12-07 18:01
"“나노캠텍, 1월 4일까지 상폐여부 결정 및 개선기간 부여 결정”",2021-12-07 17:48
"GV, 9일부터 17일까지 정리매매 후 20일 상장폐지",2021-12-07 17:27
"LG화학, LG에너지솔루션 주식 2.18조원 처분 결정",2021-12-07 17:26
"에코밴스, 790억원 규모 유상증자 결정",2021-12-07 17:07
"썸에이지, 분당 황새울로로 본점 소재지 변경",2021-12-07 17:01
"현대제뉴인, 현대두산인프라코어 1911억원 규모 주식 취득",2021-12-07 16:47
GV “인천지방법원이 파산선고…해산 사유 발생”,2021-12-07 16:23
"NHN, 129억 규모 자사주 취득 결정",2021-12-07 16:22
"현대제뉴인, 현대두산인프라코어 주식 1912억 규모 추가 취득 결정",2021-12-07 16:17
"주성엔지니어링, 329억 규모 반도체 제조장비 공급계약",2021-12-07 16:08
"주성엔지니어링, 328억원 규모 반도체 제조장비 공급계약",2021-12-07 16:04
"네패스아크, 631억원 투입해 신공장 건설",2021-12-07 16:02
"네패스아크, 631억 규모 신규시설 투자 결정",2021-12-07 16:02
"비피도, 요로감염 개선 예방을 위한 특허 2건 취득",2021-12-07 15:58
"한국정보인증 “종속회사 와이즈버즈, 애드와이 합병키로”",2021-12-07 15:49
"앤디포스, 40억원 규모 자사주 취득 결정",2021-12-07 15:47
"와이즈버즈, 애드와이 흡수합병 결정",2021-12-07 15:46
"웹케시, 마이크로서비스 아키텍처 앱 실행 관련 등 특허 2건 취득",2021-12-07 15:46
"HDC현대EP, 오는 8일 기업설명회 개최",2021-12-07 14:58
"코스맥스, 라크리틴 포함 피부장벽 개선 및 보습 증진용 화장료 조성물 관련 특허 취득",2021-12-07 14:55
"코스맥스비티아이, ‘황색 클로렐라 추출 조성물’ 특허권 취득",2021-12-07 14:54
"코스맥스, ‘피부장벽 개선 조성물’ 특허권 취득",2021-12-07 14:54
"코스맥스, 황색 클로렐라 추출물 포함 화장료 조성물 관련 특허권 취득",2021-12-07 14:52
"코스맥스, 황색 크로렐라 추출물 포함 화장료 조성물 관련 특허취득",2021-12-07 14:37
"유일에너테크, 142억 규모 토지 취득 결정",2021-12-07 14:28
"유일에너테크, 141억원 규모 안성시 원곡면 토지취득",2021-12-07 14:23
"제이씨에셋운용 “디에이테크놀로지 지분, 5.86→7.16%”",2021-12-07 14:01
에셋플러스운용 “엠로 지분 5.2→6.79%”,2021-12-07 14:00
에셋플러스운용 “원티드랩 지분 5.62→6.73%”,2021-12-07 13:59
"남광토건, 447억원 주택정비사업 수주",2021-12-07 13:45
"다원시스, 5·8호선 신조전동차 구매 낙찰자 선정",2021-12-07 13:45
"덕산테코피아, 10억원 규모 자사주 취득 신탁계약",2021-12-07 13:44
"남광토건, 447억 규모 포항 용흥시장 가로주택정비사업 수주",2021-12-07 13:38
"다원시스, 3312억원 규모 서울 5·8호선 신조전동차 공급 낙찰",2021-12-07 13:19
"서부T&D, 주식·현금 배당 결정",2021-12-07 13:16
"남광토건, 447억원 규모 포항 가로주택정비사업 수주 계약 체결",2021-12-07 13:12
"남광토건, 포항 용흥시장 가로주택사업 공사 수주[주목 e공시]",2021-12-07 13:12
"코오롱글로벌, 1396억원 규모 대전 태평동2구역 재개발 사업 수주 계약 체결",2021-12-07 13:11
"삼성중공업, 오세아니아 지역 선주와 2459억원 규모 LNG선 수주 계약 체결",2021-12-07 13:09
"코오롱글로벌, 대전 태평동2구역 재개발정비사업 수주[주목 e공시]",2021-12-07 11:26
"코오롱글로벌, 1396억원 규모 재개발정비사업 공사 수주",2021-12-07 11:25
"코오롱글로벌, 1396억 규모 태평동2구역 재개발정비사업 수주",2021-12-07 11:20
"자이언트스텝, 유상증자 확정발행가액 7만8100원",2021-12-07 10:48
"바이오플러스, 50억 규모 자사주 취득 신탁계약 체결[주목 e공시]",2021-12-07 10:45
"바이오플러스, 50억 규모 자사주 취득 신탁계약 체결",2021-12-07 10:39
"바이오플러스, 50억원 규모 자사주 취득 신탁계약",2021-12-07 10:34
"지니너스, 신장암 환자 예후 예측 관련 특허 취득",2021-12-07 10:33
"서부T&D, 주당 0.02주 주식배당· 50원 현금배당 결정",2021-12-07 10:31
"서부T&D, 보통주 1주당 0.02주 배당…결산배당금은 50원",2021-12-07 10:29
"광진윈텍, 주당 0.1주 주식배당키로",2021-12-07 10:18
"삼성중공업, 2459억 규모 LNG선 1척 수주 계약",2021-12-07 9:55
"삼성중공업, 4880억 규모 LNG선 2척 수주 계약[주목 e공시]",2021-12-07 9:54
"삼성중공업, 4880억 규모 LNG선 2척 수주 계약",2021-12-07 9:40
"삼성중공업, 4880억원 규모 LNG선 2척 수주",2021-12-07 9:40
