title,date
[유가증권 기업공시] (7일) 컨버즈 등,2021-10-07 21:57
[코스닥 기업공시] (7일) 프로스테믹스,2021-10-07 21:55
7일 장 마감 후 주요 종목뉴스,2021-10-07 20:00
"아스타, 5억원 규모 배터리분석장치 단일판매 계약",2021-10-07 18:14
"멜파스, 강정훈 대표이사 신규 선임",2021-10-07 18:14
"큐브앤컴퍼니, 10억원 규모 유상증자 결정",2021-10-07 18:13
"드림시큐리티, 400억원 규모 미전환사채 전환가액 조정",2021-10-07 18:13
"오성첨단소재, 100억원 규모 미전환사채 전환가액 조정",2021-10-07 18:12
"코웰패션, 1.3억원 규모 자사주 처분 결정",2021-10-07 18:12
"제테마, 700억원 규모 미전환사채 전환가액 조정",2021-10-07 18:12
"홈캐스트, 50억원 규모 유상증자 결정",2021-10-07 18:11
"거래소, 에코마이스터 주권매매정지기간 변경",2021-10-07 18:10
"씨씨에스, 32억원 규모 자사주 취득 결정",2021-10-07 18:09
"마이더스AI, 111억원 규모 타법인 주식 양도 결정",2021-10-07 18:09
"우진, 100억대 전환사채 발행 철회…""투자자 청약 취소""",2021-10-07 18:09
"바른손, 두나무 지분 0.2% 취득",2021-10-07 18:08
"홈캐스트, 50억원 규모 3자배정 유증 결정",2021-10-07 18:07
"아스타, 서브원과 5억원 규모 배터리분석장치 공급계약",2021-10-07 18:01
"SK케미칼, 50% 무상증자 결정···주당 0.5주 배정",2021-10-07 17:38
"씨앤투스성진, 1410만원 규모 자사주 처분 결정",2021-10-07 17:33
"UCI, UCI에듀 흡수합병 결정",2021-10-07 17:28
"DL케미칼, 대림피앤피 흡수 합병",2021-10-07 17:27
"한세실업, 21일 기업설명회 개최",2021-10-07 17:22
"메디아나, 8일 무상증자 권리락",2021-10-07 16:38
"원티드랩, 8일 무상증자 권리락",2021-10-07 16:34
"KH E&T, 20억원 규모 유상증자 결정",2021-10-07 16:33
"네오티스, 32.7만주 전환청구권 행사…전환가 3055원",2021-10-07 16:33
"케어랩스, 200억원 규모 미전환사채 전환가액 조정",2021-10-07 16:32
"대유, 380억원 규모 유상증자 결정",2021-10-07 16:31
"아나패스, 신주인수권 행사가액 2만3934원→2만3369원 조정",2021-10-07 16:23
"클리노믹스, 300억원 규모 미전환사채 전환가액 조정",2021-10-07 16:22
"파인테크닉스, 89.8억원 규모 베트남 법인 현금출자 결정",2021-10-07 16:20
"KH E&T, 20억 규모 제3자배정 유상증자 결정",2021-10-07 16:19
"아나패스, 20억원 규모 미전환사채 전환가액 조정",2021-10-07 16:14
"이더블유케이, 최대주주 케일럼에이앤디조합1호로 변경",2021-10-07 16:13
"SK케미칼, 주당 0.5주 배정 무상증자 결정",2021-10-07 16:10
"대유, 380억 규모 유상증자 결정",2021-10-07 16:00
"유엑스엔, 에스디바이오센서로 최대주주 변경",2021-10-07 15:53
"SM상선, IPO 증권신고서 제출… 11월 코스닥 상장 목표",2021-10-07 15:18
"이더블유케이, 케일럼에이앤디조합1호로 최대주주 변경",2021-10-07 15:10
"삼성엔지니어링, 삼성전자 평택공장 P3 PJT 계약금 5073억원으로 변경",2021-10-07 14:52
"크린앤사이언스, 10억 규모 자사주 취득 신탁계약 체결",2021-10-07 14:47
"삼성엔지니어링, 삼성전자 평택공장 P3 PJT 계약 금액 5073억원으로 변경",2021-10-07 14:46
"삼성엔지니어링, 삼성전자 평택공장 P3 PJT 계약금액 변경 [주목 e공시]",2021-10-07 14:38
"GV ""법원 자료 보정명령 불응 등에 파산신청 기각""",2021-10-07 14:31
"프로스테믹스, 줄기세포 유래 엑소좀 조성물 특허권 취득",2021-10-07 14:31
"인텍플러스, 19억원 규모 자사주 신탁계약 체결 결정",2021-10-07 14:30
"자안코스메틱, 2대 1 주식분할 결정…주당가액 500원",2021-10-07 14:30
"서울반도체, 3분기 매출액 3402억원…전년比 2.7%↑",2021-10-07 14:29
"이더블유케이, 마이클권 대표이사 신규 선임",2021-10-07 14:29
"배럴, 100억원 규모 미전환사채 전환가액 조정",2021-10-07 14:23
"인텍플러스, 19억 규모 자사주 취득 신탁계약 체결",2021-10-07 14:04
"자안코스메틱, 1000원→500원 주식분할 결정",2021-10-07 14:01
"이더블유케이, 마이클 권 신규 대표이사 선임",2021-10-07 13:55
"한세예스24홀딩스, 오는 21일 기업설명회 개최",2021-10-07 13:53
"한세실업, 오는 21일 기업설명회 개최",2021-10-07 13:51
"ESR켄달스퀘어리츠, 7일 기업설명회 개최",2021-10-07 13:50
"한세엠케이, 오는 21일 기업설명회 개최",2021-10-07 13:48
"까뮤이앤씨, 395억원 규모 왕십리 역세권 청년주택 신축 공사 수주",2021-10-07 13:46
"컨버즈, LG유플러스와 11억원 규모 상품공급 계약 체결",2021-10-07 13:44
"까뮤이앤씨, 395억원 규모 왕십리 역세권 청년주택 신축공사 수주",2021-10-07 11:32
"[자금조달]코웰패션, 로젠택배 인수자금 1550억 주식담보대출로 마련",2021-10-07 11:26
까뮤이앤씨 “왕십리 역세권 청년주택 신축공사 수주” [주목 e공시],2021-10-07 11:10
"까뮤이앤씨, 395억 규모 왕십리 역세권 청년주택 신축공사 수주",2021-10-07 11:03
"컨버즈, LG유플러스와 11억원 규모 공급계약",2021-10-07 10:49
"컨버즈, LG유플러스와 11억 규모 공급계약 체결",2021-10-07 10:21
